'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
'@josemedeirosmt ',Neutral
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
"'@uolnoticias rato, sem vergonha, pinguço, safado, bandido, covarde, filho de uma puta, ladrão, assassino, vagabundo, pé de chinelo, jumento '",Negative
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
'@bbcbrasil seria um favor enorme a nação  #chegadepropina',Positive
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
'e agora companheiros   kalil bittar entrega lula o sítio de atibaia é dele   https://tco/jovcsrexvf',Neutral
'@lulapelobrasil #intervencaomilitar  ',Neutral
'lula defende renovação e diz que pt precisa de lideranças mais espertas espertas em que sentido  https://tco/mj41jywspe',Positive
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
"'dos grandes intelectuais formadores de opiniao desse pais, e que defendem #minc, quantos tiveram o privilegio da lei rouanet '",Positive
"'#brasilqueopovoquer  tem lula, maior ladrão da história deste país na cadeia '",Positive
"'joice nos representa sua leitura, independência e sinceridade é + q todos jornalistas somados #mourao #gotrump  bolsonaro2018'",Neutral
'94% dos brasileiros querem e esperam a prisão de lula ladrão    chega de impunidade https://tco/vyhhavjpxt',Negative
' independe dos idiotas que o apoiam https://tco/k0xi9jplni',Negative
'rt @bhuoriescaussoy: lula defende renovação e diz que pt precisa de lideranças mais espertas espertas em que sentido  ht…',Positive
"'@gleisi não esqueça, queremos você e seu bando na cadeia #brasilqueopovoquer '",Neutral
'comando do pt discute suspensão de antônio palocci do partido e o lula quando irá ser suspenso  https://tco/b3c6cp89jx',Neutral
'rt @bhuoriescaussoy: lula defende renovação e diz que pt precisa de lideranças mais espertas espertas em que sentido  ht…',Positive
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
"'‘eles estão mexendo com um político que não roubou, diz lula, sobre investigações https://tco/quio14qcmb  #lulaladrao'",Neutral
'rt @mary_greicy: 94% dos brasileiros querem e esperam a prisão de lula ladrão    chega de impunidade https://tco/vyhha…',Negative
'#brasilqueopovoquer   #ptnuncamais',Neutral
'defesa tenta suspender ação que envolve compra de prédio para o @inst_lula https://tco/3ksbxw3xyh ñ conseguirão ',Positive
'rt @titoporto10: @lulapelobrasil  https://tco/mppeo5gtlz',Neutral
'rt @titoporto10:  independe dos idiotas que o apoiam https://tco/k0xi9jplni',Negative
'@mari57061862 antes fosse  #ptnuncamais  #brasilqueopovoquer',Neutral
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
'sem limites para ser ridículo  https://tco/ic5nyhc4l2',Negative
"'esqueceu da segurança, senador @ronaldocaiado mas, entendo, pagamos para políticos @democratas #seguranca #maioridadepenal  https://tco/fgoj2dyaob'",Neutral
'@veja e vc mexeu com um povo que não é idiota ',Negative
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
'#brasil  pelo fim da impunidade https://tco/xno7q3fisn',Neutral
'@lindberghfarias o #brasilqueopovoquer é um país livre dessa ocrim que destruiu o país  https://tco/uwmpip4lnz',Positive
'rt @bhuoriescaussoy: comando do pt discute suspensão de antônio palocci do partido e o lula quando irá ser suspenso  https:/…',Neutral
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
'@confiante3 @lulapelobrasil kkkkk eu quero ',Neutral
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
"'nine fingers, prestes a virar ennearéu '",Neutral
'rt @paulxbrow2: e agora companheiros   kalil bittar entrega lula o sítio de atibaia é dele   https://tco/jovcsrexvf',Neutral
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
'te anima não petralha o que foi aceito foi a análise do pedido tem que provar que ele fez algo errado  https://tco/gzps6ssims',Negative
'realmente o brasil é o país da piada pronta 😂🤣😂  @belcarvalho5 @ppreacarn @athiabalba @macunaimaz @japadrika @luciamoura00 https://tco/au0u4isuvq',Positive
'rt @bhuoriescaussoy: lula defende renovação e diz que pt precisa de lideranças mais espertas espertas em que sentido  ht…',Positive
'rt @giselecaso: realmente o brasil é o país da piada pronta 😂🤣😂  @belcarvalho5 @ppreacarn @athiabalba @macunaimaz… ',Positive
"'#brasilqueopovoquer é um país decente e só conseguiremos essa vitória quando o canalha for p/ cadeia, onde é seu devido lugar  https://tco/euelx6yf1h'",Positive
'deus é pai https://tco/vxdzgpfpmu',Neutral
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
'rt @giselecaso: realmente o brasil é o país da piada pronta 😂🤣😂  @belcarvalho5 @ppreacarn @athiabalba @macunaimaz… ',Positive
'não roubou poucoroubou muito junto com a quadrilha do pt     https://tco/nugogqsgcv',Neutral
'rt @giselecaso: realmente o brasil é o país da piada pronta 😂🤣😂  @belcarvalho5 @ppreacarn @athiabalba @macunaimaz… ',Positive
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
'@blogdojefferson vai ser um misto de ópera bufa e bebê de rosimary que povo doido ',Neutral
'@terezaneuman1 me dá asco ver pessoas defendendo um canalha corrupto preguiça e hipocrisia faz parte do seu bando ',Negative
'segundamente ',Neutral
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
'rt @villamarcovilla:   #ptextinçãojá @villamarcovilla https://tco/dzy0yf45a4',Neutral
"'pf indicia os irmãos batista, amigões de lula e dilma, por uso de informação privilegiada #ucho  https://tco/rwpungxwgl https://tco/mlabu5gmcg'",Neutral
'rt @bhuoriescaussoy: comando do pt discute suspensão de antônio palocci do partido e o lula quando irá ser suspenso  https:/…',Neutral
'@exame hahaha conversinha furada e tem gente que acredita nesse cidadão #reformapolitica #nãoaodestritão  #limpezanocongresso',Positive
'@exame algo melhor = venezuela 20 ',Neutral
"'@jandira_feghali ele só está tentando validar a própria delação premiada você deveria torcer para a assinatura ser verdadeira, trouxa '",Positive
'rt @amaury_andrade: @blogdojefferson vai ser um misto de ópera bufa e bebê de rosimary que povo doido ',Negative
