Class,Segment,WC,WPS,Sixltr,Dic,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
0,11,11,11.00,72.73,27.27,9.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,9.09,0,9.09,0,9.09,0,9.09,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,90.91,9.09,0,9.09,0,0,0,0,0,18.18,0,54.55
0,12,5,5.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,40,0,0,0,0,0,40,0,80
0,13,23,23.00,21.74,91.30,47.83,13.04,8.70,0.00,0.00,8.70,0.00,8.70,4.35,8.70,17.39,8.7,4.35,4.35,0,8.7,4.35,4.35,8.7,0,0,0,8.7,0,0,8.7,17.39,13.04,4.35,0,0,0,34.78,0,0,0,0,4.35,4.35,13.04,13.04,4.35,0,0,4.35,0,0,0,0,13.04,39.13,17.39,13.04,8.7,8.7,4.35,0,0,0,0,0,0,0,0,30.43,0,8.7,0,0,0,0,0,8.7,8.7,0,4.35
0,14,2,2.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,100,0,100
0,15,5,5.00,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,40,0,0,0,0,0,40,0,80
0,16,8,8.00,37.50,12.50,12.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,12.5,0,0,0,0,0,0,0,0,12.5,0,0,112.5,0,0,25,0,0,0,0,0,25,0,62.5
0,17,11,11.00,27.27,54.55,27.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0,9.09,0,0,9.09,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.27,0,0,0,0,9.09,0,18.18,0,9.09,0,0,9.09,0,0,0,0,18.18,36.36,18.18,9.09,18.18,0,0,0,0,0,0,0,0,0,0,72.73,0,0,18.18,0,0,0,0,0,18.18,0,36.36
0,18,8,8.00,25.00,87.50,50.00,25.00,25.00,0.00,0.00,25.00,12.50,25.00,0.00,12.50,12.50,12.5,0,12.5,0,0,12.5,0,0,0,0,25,25,0,0,0,12.5,12.5,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,12.5,37.5,12.5,0,0,0,0,0,12.5,0,0,0,0,0,0,37.5,0,0,0,0,0,0,0,0,25,0,12.5
0,19,11,11.00,27.27,54.55,27.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.09,0,9.09,0,0,9.09,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.27,0,0,0,0,9.09,0,18.18,0,9.09,0,0,9.09,0,0,0,0,18.18,36.36,18.18,9.09,18.18,0,0,0,0,0,0,0,0,0,0,72.73,0,0,18.18,0,0,0,0,0,18.18,0,36.36
0,20,25,25.00,12.00,84.00,52.00,16.00,16.00,0.00,0.00,16.00,12.00,4.00,12.00,24.00,8.00,4,0,8,0,0,16,12,0,20,0,4,24,0,0,12,16,8,8,0,0,8,36,0,4,4,12,4,0,20,0,4,0,0,0,8,4,0,0,8,16,0,12,16,0,4,0,0,0,0,0,0,4,0,28,0,8,0,0,0,0,0,8,8,0,4
0,21,23,23.00,30.43,78.26,56.52,30.43,21.74,0.00,0.00,17.39,21.74,0.00,30.43,17.39,17.39,4.35,0,13.04,0,4.35,17.39,21.74,0,4.35,0,8.7,30.43,0,0,4.35,13.04,4.35,8.7,0,0,0,43.48,0,8.7,13.04,8.7,4.35,0,17.39,13.04,4.35,0,0,4.35,4.35,0,0,4.35,4.35,13.04,4.35,17.39,8.7,0,0,0,0,0,0,4.35,4.35,8.7,0,13.04,0,0,0,0,0,0,0,0,8.7,0,4.35
0,22,13,13.00,61.54,46.15,30.77,7.69,7.69,0.00,0.00,7.69,7.69,0.00,7.69,7.69,7.69,7.69,0,7.69,0,0,15.38,0,0,0,0,7.69,15.38,7.69,0,7.69,7.69,7.69,0,0,0,0,23.08,0,0,0,0,0,7.69,15.38,0,0,0,0,0,0,0,0,0,0,15.38,7.69,15.38,0,0,7.69,7.69,7.69,0,0,0,0,7.69,0,69.23,0,0,0,0,0,0,0,0,15.38,0,53.85
0,23,3,3.00,66.67,66.67,33.33,33.33,33.33,0.00,0.00,33.33,33.33,0.00,33.33,33.33,0.00,0,0,0,0,0,0,0,0,0,0,33.33,33.33,0,0,33.33,33.33,0,33.33,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.67,0,0,0,0,0,0,0,0,66.67,0,100
0,24,23,23.00,21.74,78.26,52.17,13.04,13.04,0.00,0.00,13.04,13.04,0.00,13.04,17.39,21.74,17.39,4.35,13.04,0,0,8.7,0,17.39,4.35,0,0,17.39,0,0,0,4.35,0,4.35,0,0,0,34.78,0,4.35,0,4.35,0,0,8.7,17.39,0,0,0,0,4.35,0,0,0,8.7,13.04,4.35,13.04,0,0,0,0,0,4.35,0,0,13.04,8.7,0,34.78,0,8.7,0,0,0,0,0,8.7,8.7,0,8.7
0,25,1,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,200,0,100
0,26,3,3.00,66.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.67,0,0,33.33,0,0,0,0,0,66.67,0,66.67
0,27,4,4.00,75.00,50.00,25.00,25.00,25.00,0.00,0.00,25.00,25.00,0.00,25.00,25.00,0.00,0,0,0,0,0,0,0,0,0,0,25,25,0,0,25,25,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,50,0,100
0,28,11,11.00,9.09,45.45,36.36,9.09,9.09,0.00,0.00,9.09,9.09,0.00,9.09,9.09,9.09,9.09,9.09,0,0,0,0,9.09,9.09,0,0,0,9.09,0,0,0,0,0,0,0,0,0,18.18,0,0,0,0,0,0,9.09,9.09,0,0,0,0,0,0,0,0,9.09,18.18,18.18,0,0,0,0,0,0,0,0,0,0,0,0,63.64,0,0,9.09,0,0,0,0,0,18.18,0,36.36
0,29,10,10.00,20.00,60.00,50.00,10.00,20.00,0.00,0.00,10.00,20.00,0.00,10.00,10.00,10.00,10,0,10,0,0,10,0,0,10,0,0,20,0,0,0,0,0,0,0,0,0,20,0,0,0,10,10,0,10,0,0,0,0,0,0,0,0,0,0,30,0,20,0,0,0,0,0,0,0,0,0,0,0,60,0,0,10,0,0,0,0,0,20,0,30
0,30,20,20.00,40.00,65.00,35.00,15.00,5.00,0.00,0.00,0.00,5.00,0.00,15.00,0.00,20.00,10,20,0,0,5,5,10,0,5,10,5,15,0,0,5,15,10,5,0,5,5,35,10,5,15,10,5,5,5,10,0,0,0,0,10,5,0,0,0,15,5,0,20,5,5,0,0,5,0,5,0,0,0,15,0,0,0,0,0,0,0,0,10,0,5
0,31,71,71.00,73.24,25.35,11.27,4.23,4.23,0.00,0.00,4.23,2.82,1.41,2.82,4.23,2.82,0,0,1.41,0,1.41,4.23,2.82,0,0,1.41,1.41,4.23,0,1.41,0,0,0,0,0,0,0,8.45,1.41,0,0,0,0,0,5.63,0,4.23,0,0,4.23,0,0,0,0,2.82,4.23,4.23,11.27,2.82,2.82,1.41,1.41,0,0,0,0,0,2.82,0,85.92,0,0,0,0,0,0,0,0,2.82,0,83.1
0,32,24,24.00,8.33,91.67,58.33,20.83,12.50,8.33,0.00,4.17,4.17,0.00,12.50,4.17,16.67,8.33,4.17,4.17,0,4.17,16.67,8.33,0,4.17,0,12.5,29.17,0,8.33,8.33,4.17,4.17,0,0,0,0,29.17,4.17,4.17,8.33,4.17,0,8.33,12.5,8.33,16.67,0,4.17,8.33,4.17,0,0,4.17,4.17,29.17,4.17,12.5,0,0,0,0,4.17,0,4.17,0,4.17,0,0,16.67,0,0,4.17,0,0,0,4.17,0,8.33,0,0
0,33,24,24.00,16.67,83.33,62.50,20.83,16.67,0.00,0.00,16.67,8.33,0.00,12.50,8.33,25.00,12.5,0,8.33,12.5,0,12.5,20.83,4.17,4.17,0,0,29.17,0,0,0,16.67,16.67,0,0,0,0,54.17,8.33,4.17,8.33,8.33,0,8.33,25,12.5,8.33,0,4.17,4.17,4.17,4.17,0,0,4.17,12.5,4.17,8.33,0,0,4.17,0,0,4.17,0,0,0,4.17,0,25,0,4.17,0,0,0,0,0,8.33,8.33,0,4.17
0,34,5,5.00,60.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,20,0,0,0,0,0,40,0,100
0,35,7,7.00,57.14,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.86,0,0,28.57,0,0,0,0,0,28.57,0,85.71
0,36,7,7.00,57.14,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.86,0,0,28.57,0,0,0,0,0,28.57,0,85.71
0,37,7,7.00,57.14,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.86,0,0,28.57,0,0,0,0,0,28.57,0,85.71
0,38,7,7.00,57.14,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.86,0,0,28.57,0,0,0,0,0,28.57,0,85.71
0,39,7,7.00,57.14,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.86,0,0,28.57,0,0,0,0,0,28.57,0,85.71
0,40,10,10.00,50.00,20.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,80,0,0,10,0,0,0,0,0,20,0,50
0,41,7,7.00,57.14,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.86,0,0,28.57,0,0,0,0,0,28.57,0,85.71
0,42,7,7.00,57.14,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.86,0,0,28.57,0,0,0,0,0,28.57,0,85.71
0,43,7,7.00,57.14,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.86,0,0,28.57,0,0,0,0,0,28.57,0,85.71
0,44,7,7.00,57.14,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.86,0,0,28.57,0,0,0,0,0,28.57,0,85.71
0,45,8,8.00,37.50,75.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0,0,12.5,0,0,0,25,0,0,0,12.5,37.5,12.5,0,12.5,25,12.5,12.5,0,12.5,0,25,0,0,12.5,0,0,0,12.5,12.5,0,0,0,0,12.5,12.5,12.5,0,0,0,0,0,12.5,0,0,12.5,12.5,0,0,0,0,0,0,37.5,0,0,0,0,0,0,0,0,25,0,12.5
0,46,7,7.00,57.14,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.86,0,0,28.57,0,0,0,0,0,28.57,0,85.71
0,47,1,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,200,0,100
0,48,11,11.00,45.45,45.45,27.27,18.18,18.18,0.00,0.00,18.18,18.18,0.00,18.18,18.18,0.00,0,0,0,0,0,9.09,9.09,0,0,0,0,18.18,0,0,0,9.09,9.09,0,0,0,0,27.27,0,0,0,0,9.09,0,18.18,0,9.09,0,0,0,0,0,0,0,0,9.09,9.09,9.09,0,0,0,9.09,0,0,9.09,0,0,9.09,0,72.73,0,0,9.09,0,0,0,0,0,18.18,0,45.45
0,49,7,7.00,57.14,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.86,0,0,28.57,0,0,0,0,0,28.57,0,85.71
0,50,4,4.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,25,0,0,0,0,0,50,0,100
0,51,7,7.00,57.14,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.86,0,0,28.57,0,0,0,0,0,28.57,0,85.71
0,52,7,7.00,57.14,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.86,0,0,28.57,0,0,0,0,0,28.57,0,85.71
0,53,7,7.00,57.14,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.86,0,0,28.57,0,0,0,0,0,28.57,0,85.71
0,54,7,7.00,57.14,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.86,0,0,28.57,0,0,0,0,0,28.57,0,85.71
0,55,7,7.00,57.14,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.86,0,0,28.57,0,0,0,0,0,28.57,0,85.71
0,56,7,7.00,57.14,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.86,0,0,28.57,0,0,0,0,0,28.57,0,85.71
0,57,7,7.00,57.14,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.86,0,0,28.57,0,0,0,0,0,28.57,0,85.71
0,58,7,7.00,57.14,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.86,0,0,28.57,0,0,0,0,0,28.57,0,85.71
0,59,21,21.00,23.81,76.19,42.86,9.52,4.76,0.00,0.00,0.00,0.00,4.76,4.76,0.00,19.05,4.76,0,9.52,0,4.76,14.29,4.76,0,4.76,9.52,4.76,9.52,0,0,9.52,9.52,0,4.76,0,4.76,4.76,42.86,14.29,4.76,4.76,9.52,9.52,0,19.05,0,9.52,0,0,4.76,9.52,4.76,0,0,14.29,23.81,4.76,9.52,9.52,9.52,4.76,0,0,0,4.76,0,0,0,0,28.57,0,4.76,0,0,0,0,0,9.52,9.52,0,4.76
0,60,7,7.00,57.14,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.86,0,0,28.57,0,0,0,0,0,28.57,0,85.71
0,61,7,7.00,57.14,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.86,0,0,28.57,0,0,0,0,0,28.57,0,85.71
0,62,22,22.00,18.18,36.36,13.64,9.09,9.09,4.55,0.00,4.55,4.55,0.00,4.55,4.55,4.55,4.55,4.55,0,0,0,0,0,0,0,0,4.55,9.09,0,0,9.09,4.55,0,4.55,0,0,4.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,13.64,4.55,4.55,0,0,0,4.55,0,0,4.55,0,0,0,0,59.09,4.55,9.09,9.09,0,0,0,4.55,9.09,9.09,0,13.64
0,63,7,7.00,57.14,28.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,28.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.86,0,0,28.57,0,0,0,0,0,28.57,0,85.71
